"Team","Name","Characters","Wins","Losses","Draws","Total Played","Win %","Score","Last Match"
"","Radam","","31","3","0","34","91","8134","1/9/2015 12:00:00 AM"
"","Fox","","28","11","0","39","71","7377","1/9/2015 12:00:00 AM"
"","Lens","","22","9","0","31","70","6835","1/9/2015 12:00:00 AM"
"","Agent","","22","12","0","34","64","6307","1/9/2015 12:00:00 AM"
"","This","","20","12","0","32","62","6125","1/9/2015 12:00:00 AM"
"","Brandon-chan","","18","12","0","30","60","5691","1/9/2015 12:00:00 AM"
"","Bronte","","9","8","0","17","52","5062","1/9/2015 12:00:00 AM"
"","T1mmy","","4","2","0","6","66","5054","10/24/2014 12:00:00 AM"
"","Bazacko","","7","6","0","13","53","4996","11/21/2014 12:00:00 AM"
"","Innocent Killer","","9","6","0","15","60","4819","11/21/2014 12:00:00 AM"
"","Mort","","8","6","0","14","57","4542","1/9/2015 12:00:00 AM"
"","deLee","","8","8","0","16","50","4452","1/9/2015 12:00:00 AM"
"","Mac","","10","8","0","18","55","4432","1/9/2015 12:00:00 AM"
"","Mold","","6","6","0","12","50","4302","1/9/2015 12:00:00 AM"
"","LiquidBrick","","8","6","0","14","57","4260","1/9/2015 12:00:00 AM"
"","The rap game Paul Revere","","9","8","0","17","52","4199","1/9/2015 12:00:00 AM"
"","Thundrio","","7","8","0","15","46","4169","1/9/2015 12:00:00 AM"
"","Dirty Wizard","","6","6","0","12","50","3889","11/21/2014 12:00:00 AM"
"","Jazz","","7","10","0","17","41","3505","1/9/2015 12:00:00 AM"
"","Glaze","","7","10","0","17","41","3331","1/9/2015 12:00:00 AM"
"","Petalchaser","","7","12","0","19","36","3037","1/9/2015 12:00:00 AM"
"","Bacon","","3","2","0","5","60","2973","11/7/2014 12:00:00 AM"
"","Wing","","3","4","0","7","42","2727","11/7/2014 12:00:00 AM"
"","Quaid","","2","2","0","4","50","2672","10/24/2014 12:00:00 AM"
"","Grand","","2","2","0","4","50","2638","11/7/2014 12:00:00 AM"
"","Tofurkey","","2","2","0","4","50","2632","10/24/2014 12:00:00 AM"
"","Onward To The Edge","","2","6","0","8","25","2340","11/21/2014 12:00:00 AM"
"","Capncone","","3","6","0","9","33","2183","12/11/2014 12:00:00 AM"
"","Rap game Paul Revere","","1","2","0","3","33","1773","12/11/2014 12:00:00 AM"
"","Holaman","","2","6","0","8","25","1758","11/21/2014 12:00:00 AM"
"","The good the bad and the Gabin","","1","2","0","3","33","1716","1/9/2015 12:00:00 AM"
"","Shunsuke","","2","6","0","8","25","1702","11/7/2014 12:00:00 AM"
"","Macho Man Randy Savage","","1","2","0","3","33","1520","10/24/2014 12:00:00 AM"
"","Capncone (left early)","","1","2","0","3","33","1323","1/9/2015 12:00:00 AM"
"","Gavin","","1","2","0","3","33","1185","11/7/2014 12:00:00 AM"
"","LilP","","1","2","0","3","33","1183","10/10/2014 12:00:00 AM"
"","Poop","","1","2","0","3","33","1183","10/10/2014 12:00:00 AM"
"","TSM","","1","2","0","3","33","1168","10/24/2014 12:00:00 AM"
"","Trash","","1","4","0","5","20","1094","1/9/2015 12:00:00 AM"
"","Amanda Huggenkiss","","1","2","0","3","33","983","10/10/2014 12:00:00 AM"
"","Grop","","1","2","0","3","33","983","10/10/2014 12:00:00 AM"
"","Muff","","1","4","0","5","20","908","11/7/2014 12:00:00 AM"
"","Bilby","","1","4","0","5","20","713","10/24/2014 12:00:00 AM"
"","Dizzy","","0","2","0","2","0","277","1/9/2015 12:00:00 AM"
"","Omega","","0","2","0","2","0","272","11/21/2014 12:00:00 AM"
"","Matt","","0","2","0","2","0","177","1/9/2015 12:00:00 AM"
"","Rus","","0","4","0","4","0","157","1/9/2015 12:00:00 AM"
"","Christian","","0","2","0","2","0","152","1/9/2015 12:00:00 AM"
"","Ben D. Wieners","","0","2","0","2","0","109","11/7/2014 12:00:00 AM"
"","David","","0","4","0","4","0","0","11/7/2014 12:00:00 AM"
"","Bonz","","0","4","0","4","0","0","11/7/2014 12:00:00 AM"
"","DBA","","0","2","0","2","0","0","10/10/2014 12:00:00 AM"
"","#onlypikachu","","0","2","0","2","0","0","10/10/2014 12:00:00 AM"
"","Madvillain","","0","8","0","8","0","0","1/9/2015 12:00:00 AM"
"","Prime","","0","2","0","2","0","0","10/10/2014 12:00:00 AM"
"","Harrison","","0","2","0","2","0","0","10/10/2014 12:00:00 AM"
"","t0mmy","","0","2","0","2","0","0","10/10/2014 12:00:00 AM"
"","Deadalis","","0","2","0","2","0","0","10/24/2014 12:00:00 AM"
"","PJBOB","","0","2","0","2","0","0","11/7/2014 12:00:00 AM"
"","Alex","","0","2","0","2","0","0","11/7/2014 12:00:00 AM"
"","Dr. Gurbich","","0","2","0","2","0","0","11/7/2014 12:00:00 AM"
"","salt","","0","2","0","2","0","0","12/11/2014 12:00:00 AM"
